longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.2400015,47.39179237,35.0,264.0,741.0,3.0,6.0,10.0,35.0,162.0,0.0,0.0,0.0
-117.5616454,47.65926228,0.0,-1.0,713.0,1.0,0.0,0.0,0.0,91.0,22.0,41.0,10.0
-117.235521,47.57370844,0.0,206.0,691.0,5.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0
-117.5022094,47.68709268,45.0,143.0,589.0,26.0,8.0,12.0,45.0,188.0,50.0,41.0,19.0
-117.1085664,47.93388365,55.0,300.0,1556.0,23.0,11.0,12.0,55.0,142.0,0.0,0.0,0.0
-117.6081466,47.32640962,0.0,236.0,695.0,4.0,0.0,0.0,0.0,141.0,11.0,8.0,4.0
-117.3226129,47.45400876,0.0,213.0,762.0,7.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.3823187,47.65167417,0.0,-1.0,582.0,0.0,0.0,0.0,0.0,91.0,2837.0,1152.0,1021.0
-117.684408,47.44427167,35.0,-1.0,717.0,0.0,6.0,8.0,35.0,183.0,0.0,0.0,0.0
-117.4613205,47.97493704,35.0,-1.0,661.0,1.0,6.0,10.0,35.0,162.0,129.0,89.0,30.0
-117.7219429,47.6629463,0.0,339.0,708.0,9.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.3659406,47.87469697,55.0,212.0,531.0,17.0,11.0,3.0,55.0,188.0,0.0,0.0,0.0
-117.8163775,47.62039319,0.0,96.0,748.0,4.0,0.0,0.0,0.0,93.0,5.0,8.0,2.0
-117.3008912,47.52679108,0.0,269.0,748.0,6.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.8227849,47.35737121,25.0,149.0,610.0,3.0,6.0,3.0,25.0,161.0,15.0,91.0,14.0
-117.2333743,47.71574663,0.0,-1.0,731.0,2.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
