fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
738575,47.50746,-117.7818,0,229,722,5,0,0,0,121,30,24,13
738576,47.47122,-117.7684,0,-1,711,1,0,0,0,102,0,0,0
738577,47.51712,-117.7859,35,-1,727,1,6,10,35,186,27,65,26
738578,47.5171261,-117.7859141,35,-1,727,1,6,10,35,186,27,65,26
741225,47.5332,-117.5363,0,140,788,4,0,0,0,102,19,16,8
741226,47.56490529,-117.5338269,45,-1,723,2,8,12,45,188,75,57,26
741227,47.55936,-117.53234,0,211,710,4,0,0,0,102,60,49,20
741228,47.539,-117.531,45,77,735,6,8,25,45,188,0,0,0
741229,47.56044,-117.5295,35,-1,715,1,6,24,35,162,44,32,15
741230,47.5433,-117.5291,35,164,733,3,6,10,35,162,38,32,16
741231,47.57395,-117.52731,0,-1,724,0,0,0,0,122,91,81,34
741232,47.55817,-117.5273,0,-1,708,1,0,0,0,91,69,57,28
741233,47.55945997,-117.5269,45,-1,712,2,8,12,45,188,31,24,12
741234,47.55592,-117.52676,0,-1,704,2,0,0,0,98,53,0,0
741235,47.54152,-117.52651,35,119,702,8,6,10,35,162,9,8,4
741236,47.55822,-117.5265,45,-1,709,1,8,12,45,188,88,73,36
741237,47.55182,-117.5252,45,95,708,5,8,12,45,188,75,65,32
741238,47.57753528,-117.5175862,35,-1,717,2,9,3,35,162,155,114,54
741239,47.56686,-117.51611,45,-1,717,0,8,3,45,188,22,16,8
741240,47.56322,-117.51603,0,-1,717,0,0,0,0,121,69,49,23
741241,47.54874,-117.51572,0,-1,700,2,0,0,0,102,19,16,7
741242,47.5328,-117.5155,35,-1,702,2,6,24,35,162,0,0,0
741243,47.56658,-117.5147,35,-1,717,1,6,24,35,162,22,16,8
741244,47.57417,-117.51099,45,-1,716,1,8,3,45,188,77,57,27
741245,47.57417,-117.51099,45,-1,716,1,8,3,45,188,77,57,27
741246,47.56324,-117.51069,0,-1,715,1,0,0,0,123,65,41,19
741247,47.55603,-117.51049,0,-1,715,0,0,0,0,123,0,0,0
741248,47.5453,-117.5081,45,90,661,19,8,9,45,188,46,36,17
741249,47.55608,-117.50513,0,110,695,5,0,0,0,99,0,0,0
741250,47.55247,-117.50502,0,-1,654,2,0,0,0,142,23,16,8
741251,47.53080998,-117.505,0,-1,696,0,0,0,0,142,0,0,0
741252,47.57701,-117.5385,45,115,745,4,8,12,45,188,36,32,14
741253,47.5471,-117.684,0,-1,727,1,0,0,0,181,0,0,0
741254,47.5309,-117.682,0,-1,733,0,0,0,0,91,94,41,16
741255,47.57282,-117.682,0,-1,739,0,0,0,0,91,1178,714,440
741256,47.5839,-117.6808,0,-1,736,0,0,0,0,91,413,170,131
741257,47.57468,-117.66923,0,-1,736,2,0,0,0,91,1474,665,574
741258,47.53827,-117.66911,35,-1,730,2,6,5,35,183,0,0,0
741259,47.57831,-117.66387,0,-1,730,2,0,0,0,91,102,105,51
741260,47.57468,-117.66384,0,-1,723,1,0,0,0,91,283,187,103
741261,47.5674,-117.66377,25,-1,734,2,4,52,25,183,26,24,14
741262,47.57417,-117.6637,0,-1,723,0,0,0,0,91,273,187,101
741263,47.5736,-117.6598,0,-1,720,0,0,0,0,103,55,56,27
741264,47.54089468,-117.6594366,0,-1,720,1,0,0,0,181,23,17,10
741265,47.5761,-117.659,0,-1,720,0,0,0,0,103,46,47,23
741266,47.57468,-117.65849,0,-1,720,0,0,0,0,103,76,79,38
741267,47.5771,-117.6584,0,-1,720,0,0,0,0,121,36,37,18
741268,47.56737,-117.65838,0,206,731,4,0,0,0,181,104,97,55
741269,47.56737,-117.65838,0,206,731,4,0,0,0,181,104,97,55
741270,47.5528,-117.65832,45,330,717,4,6,20,45,183,411,335,187
741271,47.58599,-117.6572,0,-1,734,1,0,0,0,122,15,17,6
741272,47.56904,-117.6649,15,-1,735,1,5,46,15,183,148,78,88
741273,47.56953,-117.657,25,54,731,6,4,48,25,183,61,57,32
741274,47.58536,-117.6573,0,-1,733,1,0,0,0,141,7,8,3
741275,47.5309,-117.48902,35,-1,677,2,6,8,35,183,44,32,11
741276,47.53095,-117.48368,15,244,677,9,5,8,15,122,126,41,21
741277,47.53808,-117.4942,35,-1,714,1,6,10,35,162,11,16,4
741278,47.54553,-117.46777,35,184,714,3,6,24,35,162,20,16,8
741279,47.55625,-117.48909,0,294,648,6,0,0,0,122,136,65,33
741280,47.55974,-117.49989,0,-1,711,2,0,0,0,141,58,32,15
741281,47.56335,-117.5,0,51,680,10,0,0,0,91,166,65,38
741282,47.56701,-117.49471,0,155,663,12,0,0,0,99,189,34,25
741283,47.5709,-117.46802,25,328,661,13,6,5,25,142,44,41,18
741284,47.57156153,-117.4616619,35,51,694,8,6,24,35,162,70,65,30
741285,47.57429,-117.48936,0,-1,712,1,0,0,0,123,0,0,0
741286,47.57799,-117.47863,45,-1,716,1,6,20,45,183,63,24,19
741287,47.57805,-117.47333,35,159,698,13,9,3,35,162,127,49,39
741288,47.58165997,-117.4734,35,-1,709,2,6,10,35,162,380,146,116
741289,47.58891,-117.4892,0,-1,713,0,0,0,0,91,190,73,58
741290,47.59258,-117.46798,0,-1,707,2,0,0,0,91,564,365,183
741291,47.59618,-117.48369,0,-1,711,0,0,0,0,101,70,73,31
741292,47.59632,-117.4944,0,-1,713,1,0,0,0,102,19,16,6
741293,47.59632,-117.4944,0,-1,713,1,0,0,0,102,19,16,6
